// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426ED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13933	0	0	0	0	0	9.725440	1.291180	-0.140377	0.009187	-0.001485	-0.001958	-0.723145	-0.560547	0.175293	0.401549	0.634206	-0.323903	0.575871	95.974006	-82.124463	22.139844	0.126919	0.051639	0.990568	-0.873324	-0.467690	0.136277	0.470316	-0.882383	-0.014261	0	0	0
13934	0	0	0	0	0	9.749354	1.328581	-0.160710	0.009949	-0.000381	0.004260	-0.714355	-0.565918	0.179199	0.401499	0.634215	-0.323910	0.575892	95.990391	-82.128745	22.127750	0.126861	0.051584	0.990578	-0.873298	-0.467762	0.136200	0.470380	-0.882348	-0.014292	0	0	0
13935	0	0	0	0	0	9.725993	1.293032	-0.195312	0.004490	-0.001324	-0.000034	-0.715332	-0.565186	0.173584	0.401479	0.634222	-0.323919	0.575893	96.004675	-82.130337	22.114574	0.126847	0.051545	0.990582	-0.873291	-0.467782	0.136169	0.470395	-0.882339	-0.014323	0	0	0
13936	0	0	0	0	0	9.746476	1.279935	-0.195863	0.004109	-0.001876	-0.003143	-0.711670	-0.563477	0.170166	0.401466	0.634236	-0.323921	0.575885	96.020697	-82.130272	22.099514	0.126862	0.051512	0.990582	-0.873283	-0.467799	0.136166	0.470408	-0.882332	-0.014361	0	0	0
13937	0	0	0	0	0	9.711171	1.314778	-0.172981	0.015841	0.003773	0.001331	-0.716309	-0.569092	0.185791	0.401414	0.634250	-0.323892	0.575923	96.021071	-82.132948	22.106946	0.126812	0.051511	0.990588	-0.873225	-0.467921	0.136120	0.470529	-0.882268	-0.014357	0	0	0
13938	0	0	0	0	0	9.770384	1.317461	-0.215590	0.005573	0.008024	-0.000480	-0.709717	-0.568848	0.186523	0.401404	0.634235	-0.323877	0.575955	95.998712	-82.134959	22.131805	0.126758	0.051553	0.990593	-0.873210	-0.467957	0.136091	0.470571	-0.882246	-0.014301	0	0	0
13939	0	0	0	0	0	9.719750	1.282753	-0.162111	0.005573	0.008024	-0.000480	-0.719482	-0.564209	0.172119	0.401396	0.634218	-0.323863	0.575987	95.974869	-82.136857	22.157745	0.126704	0.051598	0.990598	-0.873198	-0.467987	0.136064	0.470607	-0.882228	-0.014241	0	0	0
13940	0	0	0	0	0	9.731699	1.301573	-0.171838	0.011671	0.001226	-0.001083	-0.709473	-0.558105	0.178223	0.401356	0.634237	-0.323842	0.576006	95.984070	-82.138109	22.154473	0.126687	0.051583	0.990601	-0.873152	-0.468080	0.136040	0.470698	-0.882179	-0.014260	0	0	0
13941	0	0	0	0	0	9.737923	1.312134	-0.204173	0.015062	0.001782	-0.001440	-0.710205	-0.560059	0.175781	0.401311	0.634259	-0.323810	0.576031	95.990999	-82.139087	22.154838	0.126671	0.051577	0.990603	-0.873094	-0.468193	0.136022	0.470809	-0.882120	-0.014275	0	0	0
13942	0	0	0	0	0	9.713992	1.274856	-0.183834	0.014570	0.006262	-0.003990	-0.717529	-0.562500	0.181152	0.401280	0.634273	-0.323762	0.576065	95.979470	-82.139042	22.173864	0.126654	0.051619	0.990603	-0.873033	-0.468305	0.136025	0.470926	-0.882057	-0.014248	0	0	0
13943	0	0	0	0	0	9.713429	1.272970	-0.129432	0.001020	-0.007189	-0.001788	-0.711182	-0.561035	0.175781	0.401266	0.634293	-0.323788	0.576038	96.015229	-82.139284	22.137003	0.126684	0.051536	0.990603	-0.873041	-0.468295	0.136012	0.470904	-0.882068	-0.014332	0	0	0
