// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426EE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57202	0	0	0	0	0	4.457914	-2.740032	8.328334	-0.001969	-0.000605	0.005547	-0.594238	0.117432	-0.461426	0.070357	-0.244813	0.127996	-0.958506	-18.274303	-26.827077	-167.210484	-0.870233	-0.197545	0.451299	0.072204	-0.957334	-0.279818	0.487321	-0.210921	0.847367	0	0	0
57203	0	0	0	0	0	4.435473	-2.750271	8.328889	-0.001183	0.000727	0.003705	-0.598633	0.110596	-0.462402	0.070350	-0.244817	0.128004	-0.958504	-18.275188	-26.827473	-167.210943	-0.870231	-0.197537	0.451305	0.072187	-0.957332	-0.279830	0.487326	-0.210939	0.847360	0	0	0
57204	0	0	0	0	0	4.424050	-2.727001	8.306374	-0.001487	0.002683	0.009208	-0.608643	0.115234	-0.458496	0.070368	-0.244808	0.128021	-0.958503	-18.277715	-26.825952	-167.208400	-0.870234	-0.197578	0.451282	0.072215	-0.957318	-0.279872	0.487316	-0.210964	0.847359	0	0	0
57205	0	0	0	0	0	4.426213	-2.730151	8.355135	-0.000351	0.002008	0.003683	-0.587891	0.106689	-0.455078	0.070361	-0.244806	0.128026	-0.958503	-18.277983	-26.825751	-167.209242	-0.870239	-0.197566	0.451279	0.072200	-0.957317	-0.279876	0.487311	-0.210977	0.847359	0	0	0
57206	0	0	0	0	0	4.424659	-2.728993	8.330869	0.002394	0.000137	0.010827	-0.600098	0.110352	-0.458252	0.070394	-0.244808	0.128026	-0.958501	-18.278963	-26.825323	-167.205199	-0.870228	-0.197628	0.451272	0.072261	-0.957308	-0.279892	0.487321	-0.210960	0.847357	0	0	0
57207	0	0	0	0	0	4.425656	-2.730713	8.355247	-0.002461	0.001558	0.003772	-0.596191	0.109619	-0.461426	0.070384	-0.244807	0.128040	-0.958499	-18.280437	-26.825311	-167.205985	-0.870231	-0.197616	0.451272	0.072235	-0.957304	-0.279913	0.487320	-0.210991	0.847350	0	0	0
57208	0	0	0	0	0	4.447671	-2.721178	8.354693	-0.000256	0.001903	0.007322	-0.591553	0.107666	-0.458984	0.070395	-0.244804	0.128049	-0.958498	-18.281812	-26.824552	-167.204435	-0.870231	-0.197641	0.451260	0.072253	-0.957296	-0.279936	0.487316	-0.211004	0.847349	0	0	0
57209	0	0	0	0	0	4.422576	-2.728698	8.306602	-0.001922	-0.000657	0.007367	-0.597900	0.107666	-0.447510	0.070404	-0.244811	0.128064	-0.958494	-18.284152	-26.825047	-167.202628	-0.870221	-0.197667	0.451268	0.072261	-0.957286	-0.279969	0.487333	-0.211026	0.847334	0	0	0
57210	0	0	0	0	0	4.423700	-2.730451	8.330901	0.000142	-0.000156	0.005459	-0.596436	0.107666	-0.457764	0.070408	-0.244819	0.128068	-0.958491	-18.284972	-26.825743	-167.201799	-0.870213	-0.197679	0.451279	0.072265	-0.957282	-0.279979	0.487347	-0.211030	0.847325	0	0	0
57211	0	0	0	0	0	4.432043	-2.751694	8.304769	-0.001042	0.000571	0.009165	-0.592285	0.116211	-0.451660	0.070427	-0.244820	0.128082	-0.958487	-18.287216	-26.825403	-167.199087	-0.870206	-0.197721	0.451273	0.072293	-0.957270	-0.280013	0.487355	-0.211046	0.847316	0	0	0
57212	0	0	0	0	0	4.424518	-2.732585	8.355237	-0.001183	0.000727	0.003706	-0.597412	0.114746	-0.450439	0.070420	-0.244825	0.128090	-0.958486	-18.288233	-26.825934	-167.199504	-0.870204	-0.197713	0.451282	0.072274	-0.957268	-0.280027	0.487362	-0.211064	0.847307	0	0	0
57213	0	0	0	0	0	4.446684	-2.722944	8.354643	0.000142	-0.000156	0.005459	-0.594971	0.116211	-0.454834	0.070426	-0.244832	0.128094	-0.958483	-18.289003	-26.826612	-167.198504	-0.870195	-0.197727	0.451292	0.072281	-0.957264	-0.280037	0.487377	-0.211067	0.847299	0	0	0
57214	0	0	0	0	0	4.410292	-2.763997	8.329738	-0.002812	0.003566	0.007457	-0.596436	0.115479	-0.452637	0.070434	-0.244821	0.128116	-0.958482	-18.291727	-26.824924	-167.197207	-0.870204	-0.197750	0.451266	0.072288	-0.957251	-0.280081	0.487361	-0.211107	0.847298	0	0	0
57215	0	0	0	0	0	4.444806	-2.722307	8.330381	0.000094	-0.000104	0.003639	-0.593506	0.112793	-0.461670	0.070430	-0.244829	0.128118	-0.958480	-18.292009	-26.825869	-167.197365	-0.870197	-0.197746	0.451281	0.072278	-0.957251	-0.280083	0.487374	-0.211110	0.847289	0	0	0
57216	0	0	0	0	0	4.433371	-2.756079	8.353564	-0.000303	0.001955	0.005504	-0.593506	0.116211	-0.455322	0.070433	-0.244826	0.128125	-0.958480	-18.292905	-26.825409	-167.196934	-0.870199	-0.197753	0.451273	0.072280	-0.957247	-0.280097	0.487370	-0.211122	0.847288	0	0	0
57217	0	0	0	0	0	4.399782	-2.742477	8.331639	0.001419	-0.000988	0.005393	-0.596191	0.111328	-0.465820	0.070439	-0.244836	0.128122	-0.958477	-18.292937	-26.826432	-167.195973	-0.870188	-0.197766	0.451289	0.072291	-0.957246	-0.280095	0.487388	-0.211111	0.847281	0	0	0
57218	0	0	0	0	0	4.424396	-2.735531	8.379805	0.001855	0.002352	0.007235	-0.601074	0.112549	-0.459717	0.070452	-0.244829	0.128121	-0.958478	-18.293037	-26.825445	-167.194566	-0.870190	-0.197789	0.451274	0.072318	-0.957243	-0.280099	0.487379	-0.211104	0.847288	0	0	0
57219	0	0	0	0	0	4.443902	-2.722961	8.330649	-0.000445	0.002112	0.000045	-0.598633	0.111328	-0.458008	0.070427	-0.244828	0.128121	-0.958480	-18.292314	-26.825757	-167.197703	-0.870199	-0.197741	0.451279	0.072271	-0.957250	-0.280088	0.487371	-0.211118	0.847289	0	0	0
57220	0	0	0	0	0	4.431144	-2.755299	8.329531	0.001069	0.001019	0.009077	-0.595703	0.112793	-0.458008	0.070449	-0.244827	0.128126	-0.958478	-18.293492	-26.825163	-167.194905	-0.870194	-0.197785	0.451270	0.072310	-0.957242	-0.280107	0.487375	-0.211116	0.847287	0	0	0
57221	0	0	0	0	0	4.443207	-2.723142	8.330961	0.005537	0.005464	0.003463	-0.592529	0.125244	-0.448730	0.070446	-0.244806	0.128103	-0.958487	-18.290006	-26.823090	-167.196543	-0.870215	-0.197763	0.451237	0.072322	-0.957254	-0.280060	0.487334	-0.211078	0.847320	0	0	0
