// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426F5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57202	0	0	0	0	0	9.735334	-0.007284	-1.203976	0.008782	-0.002500	-0.005071	-0.860352	0.290039	-0.208496	0.590409	-0.328089	-0.677444	-0.291280	176.888180	-82.337241	131.039080	-0.087549	0.100575	0.991070	0.788473	0.615026	0.007238	-0.608806	0.782066	-0.133145	0	0	0
57203	0	0	0	0	0	9.737001	-0.036010	-1.222508	0.009853	-0.001619	-0.007154	-0.868408	0.287842	-0.207764	0.590432	-0.328051	-0.677450	-0.291265	176.881994	-82.339186	131.050222	-0.087546	0.100532	0.991075	0.788420	0.615095	0.007251	-0.608876	0.782018	-0.133111	0	0	0
57204	0	0	0	0	0	9.734926	-0.000841	-1.180585	0.006613	-0.002588	-0.005308	-0.875732	0.294189	-0.199951	0.590436	-0.328038	-0.677452	-0.291264	176.876380	-82.339684	131.057049	-0.087553	0.100516	0.991076	0.788406	0.615112	0.007264	-0.608893	0.782006	-0.133102	0	0	0
57205	0	0	0	0	0	9.734913	-0.000295	-1.180690	0.007624	0.000437	-0.007626	-0.856934	0.285400	-0.201172	0.590459	-0.328004	-0.677450	-0.291261	176.866556	-82.342659	131.070327	-0.087542	0.100456	0.991083	0.788368	0.615161	0.007284	-0.608943	0.781976	-0.133049	0	0	0
57206	0	0	0	0	0	9.736587	-0.028704	-1.199207	0.001252	-0.004353	-0.009959	-0.866699	0.287109	-0.205322	0.590442	-0.327994	-0.677457	-0.291290	176.838490	-82.342000	131.096709	-0.087596	0.100425	0.991081	0.788383	0.615141	0.007349	-0.608916	0.781996	-0.133057	0	0	0
57207	0	0	0	0	0	9.760903	-0.026729	-1.199642	0.005603	-0.005612	-0.002989	-0.865234	0.286621	-0.208984	0.590449	-0.327990	-0.677462	-0.291270	176.848281	-82.341684	131.089067	-0.087586	0.100440	0.991080	0.788361	0.615169	0.007327	-0.608946	0.781971	-0.133064	0	0	0
57208	0	0	0	0	0	9.739155	-0.075163	-1.189221	0.003405	-0.004028	-0.007634	-0.860107	0.283447	-0.202393	0.590440	-0.327981	-0.677468	-0.291285	176.831271	-82.341284	131.105538	-0.087619	0.100421	0.991079	0.788365	0.615164	0.007367	-0.608936	0.781978	-0.133068	0	0	0
57209	0	0	0	0	0	9.762145	-0.049442	-1.195018	0.005559	-0.003704	-0.005309	-0.863525	0.283447	-0.194824	0.590450	-0.327964	-0.677471	-0.291275	176.830403	-82.342049	131.108815	-0.087617	0.100406	0.991081	0.788339	0.615197	0.007368	-0.608970	0.781954	-0.133055	0	0	0
57210	0	0	0	0	0	9.737729	-0.050380	-1.195422	0.005559	-0.003704	-0.005309	-0.860107	0.285645	-0.203369	0.590449	-0.327956	-0.677475	-0.291276	176.824444	-82.341908	131.115381	-0.087630	0.100397	0.991081	0.788332	0.615206	0.007382	-0.608978	0.781948	-0.133057	0	0	0
57211	0	0	0	0	0	9.712964	-0.045866	-1.171978	0.006614	-0.002587	-0.005306	-0.859375	0.292969	-0.201660	0.590463	-0.327938	-0.677477	-0.291266	176.823991	-82.343121	131.118405	-0.087621	0.100377	0.991084	0.788304	0.615241	0.007382	-0.609014	0.781923	-0.133036	0	0	0
57212	0	0	0	0	0	9.737654	-0.049535	-1.196074	0.008843	-0.004642	-0.004832	-0.863525	0.290771	-0.197510	0.590464	-0.327924	-0.677488	-0.291253	176.822162	-82.342457	131.122701	-0.087636	0.100379	0.991082	0.788278	0.615275	0.007387	-0.609047	0.781895	-0.133047	0	0	0
57213	0	0	0	0	0	9.737974	-0.054605	-1.220159	0.007668	-0.001470	-0.005303	-0.860596	0.292480	-0.202393	0.590484	-0.327902	-0.677486	-0.291241	176.823517	-82.344347	131.124404	-0.087618	0.100352	0.991087	0.788245	0.615317	0.007382	-0.609092	0.781866	-0.133014	0	0	0
57214	0	0	0	0	0	9.737593	-0.048829	-1.196600	0.007713	-0.003378	-0.002982	-0.863525	0.290771	-0.197021	0.590491	-0.327896	-0.677489	-0.291229	176.828615	-82.344466	131.121058	-0.087610	0.100355	0.991087	0.788227	0.615341	0.007370	-0.609116	0.781847	-0.133013	0	0	0
57215	0	0	0	0	0	9.736187	-0.024638	-1.202541	0.003465	-0.006173	-0.007396	-0.862549	0.288086	-0.206543	0.590484	-0.327886	-0.677498	-0.291230	176.819666	-82.343598	131.130739	-0.087637	0.100352	0.991085	0.788218	0.615352	0.007392	-0.609124	0.781839	-0.133027	0	0	0
57216	0	0	0	0	0	9.762201	-0.051866	-1.221351	0.002335	-0.004909	-0.005547	-0.861572	0.291504	-0.198242	0.590474	-0.327889	-0.677502	-0.291240	176.811134	-82.342759	131.138037	-0.087660	0.100352	0.991083	0.788230	0.615336	0.007412	-0.609105	0.781851	-0.133040	0	0	0
57217	0	0	0	0	0	9.760445	-0.022163	-1.203460	0.005559	-0.003703	-0.005306	-0.863770	0.288574	-0.213867	0.590483	-0.327875	-0.677504	-0.291231	176.811277	-82.343444	131.139974	-0.087655	0.100340	0.991085	0.788208	0.615364	0.007411	-0.609134	0.781830	-0.133028	0	0	0
57218	0	0	0	0	0	9.737045	-0.041381	-1.174481	0.005499	-0.001559	-0.005541	-0.867188	0.288330	-0.203613	0.590489	-0.327864	-0.677503	-0.291237	176.803788	-82.344523	131.148049	-0.087657	0.100313	0.991087	0.788201	0.615373	0.007428	-0.609143	0.781827	-0.133009	0	0	0
57219	0	0	0	0	0	9.738374	-0.064645	-1.169256	0.003390	-0.003793	-0.005544	-0.863770	0.283936	-0.203857	0.590496	-0.327852	-0.677503	-0.291234	176.801141	-82.345310	131.152001	-0.087655	0.100297	0.991089	0.788187	0.615391	0.007433	-0.609162	0.781815	-0.132995	0	0	0
57220	0	0	0	0	0	9.737333	-0.045947	-1.198828	0.010952	-0.002408	-0.004826	-0.861328	0.288086	-0.204102	0.590509	-0.327828	-0.677511	-0.291217	176.800021	-82.345926	131.156801	-0.087656	0.100282	0.991090	0.788147	0.615442	0.007435	-0.609213	0.781777	-0.132984	0	0	0
57221	0	0	0	0	0	9.761998	-0.049824	-1.223059	0.012173	-0.007486	-0.002031	-0.857178	0.299072	-0.193604	0.590521	-0.327810	-0.677529	-0.291170	176.817994	-82.344579	131.144741	-0.087651	0.100318	0.991087	0.788085	0.615521	0.007394	-0.609294	0.781710	-0.133010	0	0	0
57222	0	0	0	0	0	9.712836	-0.046878	-1.199876	0.012082	-0.003672	-0.006672	-0.860596	0.295166	-0.202881	0.590529	-0.327778	-0.677545	-0.291153	176.809966	-82.344413	131.157165	-0.087674	0.100301	0.991087	0.788037	0.615583	0.007413	-0.609352	0.781663	-0.133012	0	0	0
57223	0	0	0	0	0	9.735801	-0.021340	-1.205726	0.013182	-0.004462	-0.004348	-0.864746	0.288330	-0.192627	0.590548	-0.327751	-0.677558	-0.291115	176.820390	-82.344604	131.152697	-0.087664	0.100305	0.991087	0.787975	0.615664	0.007389	-0.609435	0.781599	-0.133010	0	0	0
