// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57202	0	0	0	0	0	8.787117	0.200503	4.390386	-0.008131	-0.001068	0.002474	-1.076416	0.137207	-0.126465	0.145199	-0.517432	-0.105775	-0.836656	3.460039	-63.707122	-162.459254	-0.422363	-0.133501	0.896541	0.352427	-0.935457	0.026734	0.835107	0.327257	0.442152	0	0	0
57203	0	0	0	0	0	8.790985	0.239573	4.404624	-0.008483	0.000743	0.002016	-1.083008	0.134521	-0.126221	0.145177	-0.517433	-0.105724	-0.836666	3.452023	-63.706120	-162.457482	-0.422374	-0.133519	0.896534	0.352339	-0.935492	0.026673	0.835139	0.327149	0.442172	0	0	0
57204	0	0	0	0	0	8.816850	0.191230	4.405832	-0.005646	0.001075	-0.002219	-1.092285	0.138184	-0.122559	0.145144	-0.517431	-0.105698	-0.836676	3.451010	-63.705161	-162.461332	-0.422397	-0.133495	0.896526	0.352261	-0.935522	0.026666	0.835160	0.327075	0.442187	0	0	0
57205	0	0	0	0	0	8.761180	0.235966	4.421816	-0.002726	-0.002414	-0.001006	-1.075195	0.129883	-0.122070	0.145126	-0.517439	-0.105683	-0.836676	3.449886	-63.705920	-162.463142	-0.422390	-0.133478	0.896532	0.352215	-0.935539	0.026656	0.835183	0.327032	0.442176	0	0	0
57206	0	0	0	0	0	8.795832	0.179526	4.401458	-0.005428	-0.001741	0.000734	-1.081299	0.133301	-0.125244	0.145105	-0.517450	-0.105652	-0.836676	3.445777	-63.706673	-162.463399	-0.422380	-0.133473	0.896538	0.352151	-0.935564	0.026624	0.835215	0.326963	0.442166	0	0	0
57207	0	0	0	0	0	8.817035	0.190965	4.405475	-0.002591	-0.001409	-0.003501	-1.082031	0.134033	-0.127197	0.145072	-0.517454	-0.105641	-0.836681	3.447768	-63.706763	-162.469082	-0.422392	-0.133430	0.896539	0.352088	-0.935588	0.026639	0.835236	0.326912	0.442164	0	0	0
57208	0	0	0	0	0	8.778716	0.219331	4.378786	-0.001862	-0.001944	0.000161	-1.074463	0.128418	-0.124756	0.145058	-0.517462	-0.105627	-0.836680	3.446379	-63.707612	-162.470094	-0.422381	-0.133419	0.896545	0.352051	-0.935602	0.026628	0.835257	0.326877	0.442151	0	0	0
57209	0	0	0	0	0	8.787374	0.187802	4.422357	0.000488	-0.000806	-0.002037	-1.080322	0.130127	-0.115234	0.145040	-0.517461	-0.105625	-0.836684	3.448422	-63.707341	-162.473922	-0.422394	-0.133392	0.896543	0.352018	-0.935614	0.026644	0.835264	0.326854	0.442154	0	0	0
57210	0	0	0	0	0	8.778822	0.207614	4.411015	-0.001134	-0.002480	0.003822	-1.077881	0.129639	-0.124268	0.145043	-0.517474	-0.105605	-0.836679	3.443249	-63.708622	-162.470248	-0.422367	-0.133413	0.896553	0.352004	-0.935621	0.026603	0.835284	0.326826	0.442137	0	0	0
57211	0	0	0	0	0	8.791356	0.238901	4.403921	0.000999	0.001475	-0.001328	-1.076172	0.138428	-0.121338	0.145029	-0.517465	-0.105601	-0.836687	3.444662	-63.707253	-162.473029	-0.422394	-0.133399	0.896543	0.351978	-0.935630	0.026615	0.835281	0.326805	0.442157	0	0	0
57212	0	0	0	0	0	8.779005	0.207488	4.410656	0.002626	-0.008585	0.003455	-1.080811	0.136475	-0.118408	0.145037	-0.517500	-0.105602	-0.836664	3.442494	-63.712014	-162.470304	-0.422316	-0.133396	0.896579	0.351993	-0.935625	0.026594	0.835314	0.326821	0.442084	0	0	0
