// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57202	0	0	0	0	0	9.769434	0.149737	1.096611	-0.000057	0.003985	0.002718	-0.734375	-0.161621	-0.522705	0.740354	0.080319	-0.662220	0.082998	4.677359	-83.661987	8.605943	0.109151	0.016519	0.993888	-0.229273	0.973320	0.009002	-0.967223	-0.228855	0.110026	0	0	0
57203	0	0	0	0	0	9.775199	0.108688	1.086717	0.001046	0.000923	0.005676	-0.740967	-0.163330	-0.520508	0.740350	0.080300	-0.662226	0.083008	4.655895	-83.662701	8.626721	0.109133	0.016557	0.993889	-0.229264	0.973323	0.008960	-0.967227	-0.228841	0.110017	0	0	0
57204	0	0	0	0	0	9.790069	0.117918	1.057357	-0.001795	0.005155	0.000066	-0.748779	-0.158447	-0.519287	0.740362	0.080290	-0.662216	0.082994	4.658455	-83.660873	8.622113	0.109165	0.016553	0.993886	-0.229229	0.973331	0.008967	-0.967232	-0.228806	0.110048	0	0	0
57205	0	0	0	0	0	9.775615	0.099211	1.064736	-0.000287	0.003793	0.005046	-0.732178	-0.166748	-0.515137	0.740367	0.080264	-0.662213	0.082997	4.636978	-83.660152	8.641775	0.109172	0.016592	0.993884	-0.229200	0.973338	0.008927	-0.967238	-0.228773	0.110064	0	0	0
57206	0	0	0	0	0	9.775094	0.107866	1.087744	0.004109	0.002217	0.001038	-0.739258	-0.165039	-0.518799	0.740367	0.080274	-0.662211	0.083004	4.639156	-83.660048	8.640955	0.109174	0.016591	0.993884	-0.229223	0.973333	0.008931	-0.967232	-0.228796	0.110066	0	0	0
57207	0	0	0	0	0	9.790464	0.108279	1.035624	0.001911	0.003005	0.003042	-0.738525	-0.165771	-0.523438	0.740369	0.080268	-0.662208	0.083010	4.631120	-83.659590	8.649034	0.109179	0.016607	0.993883	-0.229224	0.973333	0.008917	-0.967231	-0.228796	0.110075	0	0	0
57208	0	0	0	0	0	9.789932	0.116945	1.058730	-0.002025	0.004964	0.002394	-0.733887	-0.168213	-0.517090	0.740380	0.080249	-0.662199	0.083003	4.621671	-83.657979	8.656377	0.109205	0.016626	0.993880	-0.229189	0.973341	0.008901	-0.967237	-0.228759	0.110104	0	0	0
57209	0	0	0	0	0	9.775989	0.089441	1.043197	0.000000	-0.000000	0.000000	-0.738281	-0.166748	-0.509521	0.740375	0.080248	-0.662207	0.082990	4.629611	-83.659022	8.647269	0.109190	0.016606	0.993882	-0.229169	0.973346	0.008914	-0.967243	-0.228740	0.110085	0	0	0
57210	0	0	0	0	0	9.823511	0.130785	1.080543	0.001911	0.003005	0.003042	-0.735352	-0.166016	-0.518311	0.740377	0.080242	-0.662204	0.082998	4.619902	-83.658560	8.657143	0.109195	0.016626	0.993881	-0.229173	0.973345	0.008896	-0.967242	-0.228742	0.110094	0	0	0
57211	0	0	0	0	0	9.755259	0.120206	1.083406	-0.001562	0.002679	0.001698	-0.732666	-0.159180	-0.515137	0.740380	0.080230	-0.662204	0.082988	4.617019	-83.658326	8.658222	0.109198	0.016628	0.993881	-0.229142	0.973352	0.008891	-0.967248	-0.228711	0.110099	0	0	0
57212	0	0	0	0	0	9.770142	0.129373	1.054020	0.001681	0.002813	0.005371	-0.735107	-0.159668	-0.513184	0.740381	0.080216	-0.662203	0.083004	4.595294	-83.658081	8.680052	0.109196	0.016670	0.993880	-0.229146	0.973352	0.008850	-0.967248	-0.228710	0.110106	0	0	0
57213	0	0	0	0	0	9.795097	0.084336	1.072515	0.004569	0.002599	-0.003619	-0.734619	-0.158203	-0.516846	0.740384	0.080238	-0.662198	0.082990	4.621718	-83.657600	8.654339	0.109212	0.016623	0.993879	-0.229155	0.973349	0.008901	-0.967244	-0.228725	0.110111	0	0	0
57214	0	0	0	0	0	9.770061	0.129527	1.054749	-0.001159	0.007046	-0.000240	-0.737793	-0.160889	-0.513184	0.740402	0.080230	-0.662180	0.082977	4.625437	-83.654679	8.648931	0.109264	0.016620	0.993874	-0.229126	0.973356	0.008913	-0.967245	-0.228696	0.110161	0	0	0
57215	0	0	0	0	0	9.774800	0.106771	1.090489	0.000636	0.001891	-0.000306	-0.736816	-0.161621	-0.521240	0.740403	0.080226	-0.662182	0.082963	4.632830	-83.654775	8.640092	0.109265	0.016603	0.993874	-0.229101	0.973362	0.008927	-0.967251	-0.228673	0.110158	0	0	0
57216	0	0	0	0	0	9.769986	0.129491	1.055453	0.001042	0.003590	0.001716	-0.734375	-0.158447	-0.516357	0.740408	0.080221	-0.662177	0.082963	4.629195	-83.653918	8.643352	0.109278	0.016611	0.993872	-0.229095	0.973363	0.008921	-0.967251	-0.228666	0.110173	0	0	0
57217	0	0	0	0	0	9.775227	0.097634	1.068434	0.003646	0.004501	0.001735	-0.736572	-0.161133	-0.528076	0.740416	0.080221	-0.662167	0.082966	4.626849	-83.652511	8.645949	0.109302	0.016620	0.993870	-0.229099	0.973362	0.008918	-0.967247	-0.228669	0.110198	0	0	0
57218	0	0	0	0	0	9.789609	0.115982	1.061821	0.004109	0.002216	0.001039	-0.742920	-0.162109	-0.519775	0.740415	0.080230	-0.662166	0.082974	4.629022	-83.652407	8.645133	0.109304	0.016619	0.993869	-0.229122	0.973357	0.008923	-0.967241	-0.228692	0.110199	0	0	0
57219	0	0	0	0	0	9.790075	0.106959	1.039425	0.008217	0.004432	0.002077	-0.735352	-0.166748	-0.518066	0.740421	0.080246	-0.662155	0.082993	4.627749	-83.650998	8.649281	0.109327	0.016630	0.993867	-0.229170	0.973345	0.008922	-0.967227	-0.228740	0.110224	0	0	0
57220	0	0	0	0	0	9.775132	0.097239	1.069344	0.001275	0.001114	0.003349	-0.735352	-0.163086	-0.518555	0.740418	0.080237	-0.662159	0.083000	4.616899	-83.651630	8.659936	0.109313	0.016649	0.993868	-0.229168	0.973346	0.008900	-0.967229	-0.228736	0.110215	0	0	0
57221	0	0	0	0	0	9.790017	0.106702	1.039996	0.007579	0.005208	-0.001577	-0.731445	-0.154053	-0.511719	0.740427	0.080266	-0.662144	0.083007	4.634689	-83.649674	8.645134	0.109351	0.016626	0.993864	-0.229217	0.973334	0.008937	-0.967214	-0.228788	0.110246	0	0	0
57222	0	0	0	0	0	9.769768	0.129132	1.057509	0.004975	0.004297	-0.001595	-0.736328	-0.156006	-0.517090	0.740435	0.080287	-0.662133	0.083008	4.650007	-83.648259	8.631593	0.109379	0.016604	0.993861	-0.229245	0.973327	0.008969	-0.967204	-0.228819	0.110268	0	0	0
57223	0	0	0	0	0	9.755313	0.110666	1.064794	0.006482	0.002935	0.003386	-0.738281	-0.161377	-0.508789	0.740435	0.080289	-0.662130	0.083025	4.640403	-83.647921	8.642724	0.109381	0.016626	0.993861	-0.229272	0.973321	0.008951	-0.967197	-0.228844	0.110275	0	0	0
57224	0	0	0	0	0	9.774978	0.097249	1.070744	0.006712	0.003126	0.001058	-0.741699	-0.163330	-0.511963	0.740437	0.080307	-0.662124	0.083041	4.643590	-83.647298	8.642389	0.109392	0.016627	0.993860	-0.229320	0.973310	0.008958	-0.967184	-0.228892	0.110285	0	0	0
57225	0	0	0	0	0	9.785088	0.129493	1.006168	0.007348	0.005015	0.000752	-0.732422	-0.162109	-0.521484	0.740443	0.080328	-0.662112	0.083057	4.648740	-83.645845	8.640237	0.109418	0.016626	0.993857	-0.229370	0.973298	0.008970	-0.967170	-0.228943	0.110310	0	0	0
57226	0	0	0	0	0	9.788808	0.124436	1.087306	0.005383	0.003329	0.004388	-0.739258	-0.167480	-0.516113	0.740445	0.080330	-0.662107	0.083082	4.634002	-83.645261	8.657172	0.109423	0.016660	0.993856	-0.229409	0.973289	0.008942	-0.967160	-0.228978	0.110322	0	0	0
57227	0	0	0	0	0	9.774871	0.096786	1.071769	0.009549	0.001559	0.002710	-0.734619	-0.167236	-0.516602	0.740440	0.080353	-0.662106	0.083110	4.632388	-83.645582	8.662989	0.109416	0.016671	0.993856	-0.229481	0.973272	0.008939	-0.967144	-0.229049	0.110317	0	0	0
57228	0	0	0	0	0	9.770093	0.119305	1.036574	0.001274	0.001114	0.003349	-0.733398	-0.154541	-0.523438	0.740436	0.080345	-0.662111	0.083116	4.621545	-83.646214	8.673635	0.109402	0.016689	0.993858	-0.229479	0.973273	0.008917	-0.967146	-0.229045	0.110308	0	0	0
57229	0	0	0	0	0	9.773836	0.114371	1.117432	0.006307	0.001425	-0.000964	-0.746582	-0.156006	-0.518799	0.740434	0.080365	-0.662111	0.083117	4.636084	-83.646387	8.660812	0.109402	0.016664	0.993858	-0.229506	0.973266	0.008945	-0.967139	-0.229075	0.110302	0	0	0
57230	0	0	0	0	0	9.769034	0.137203	1.082423	0.002777	0.005084	0.000408	-0.745361	-0.157471	-0.520752	0.740444	0.080370	-0.662099	0.083119	4.639534	-83.644616	8.657943	0.109434	0.016664	0.993854	-0.229515	0.973264	0.008954	-0.967133	-0.229085	0.110332	0	0	0
57231	0	0	0	0	0	9.783930	0.146640	1.053079	0.001505	0.001305	0.001021	-0.740967	-0.158936	-0.515869	0.740442	0.080363	-0.662103	0.083110	4.639863	-83.645171	8.656244	0.109425	0.016659	0.993855	-0.229492	0.973269	0.008954	-0.967140	-0.229062	0.110323	0	0	0
57232	0	0	0	0	0	9.768989	0.136903	1.082868	0.000175	0.001509	0.004351	-0.740234	-0.171875	-0.519531	0.740439	0.080347	-0.662107	0.083116	4.623091	-83.645624	8.672222	0.109412	0.016688	0.993856	-0.229481	0.973272	0.008921	-0.967144	-0.229047	0.110317	0	0	0
57233	0	0	0	0	0	9.808355	0.110113	1.094396	-0.000463	0.002285	0.000695	-0.732910	-0.174316	-0.525635	0.740441	0.080340	-0.662107	0.083105	4.625820	-83.645548	8.668048	0.109415	0.016680	0.993856	-0.229456	0.973278	0.008926	-0.967150	-0.229023	0.110318	0	0	0
57234	0	0	0	0	0	9.789136	0.114324	1.066353	-0.000926	0.004569	0.001391	-0.733154	-0.167236	-0.515869	0.740450	0.080329	-0.662099	0.083097	4.622327	-83.644117	8.670031	0.109439	0.016688	0.993853	-0.229430	0.973284	0.008921	-0.967153	-0.228996	0.110344	0	0	0
57235	0	0	0	0	0	9.789085	0.114238	1.066830	-0.001795	0.005154	0.000064	-0.737061	-0.167725	-0.514404	0.740463	0.080322	-0.662088	0.083083	4.627772	-83.642159	8.662805	0.109474	0.016679	0.993850	-0.229399	0.973291	0.008935	-0.967156	-0.228966	0.110377	0	0	0
57236	0	0	0	0	0	9.774597	0.095682	1.074361	-0.001389	0.006853	0.002086	-0.738281	-0.157471	-0.516357	0.740480	0.080305	-0.662072	0.083077	4.619505	-83.639455	8.669324	0.109519	0.016699	0.993844	-0.229370	0.973298	0.008922	-0.967158	-0.228935	0.110425	0	0	0
57237	0	0	0	0	0	9.774536	0.095445	1.074940	-0.002025	0.004963	0.002392	-0.733887	-0.160645	-0.518799	0.740490	0.080284	-0.662064	0.083067	4.610962	-83.637945	8.675344	0.109543	0.016714	0.993842	-0.229328	0.973309	0.008908	-0.967166	-0.228891	0.110452	0	0	0
57238	0	0	0	0	0	9.773972	0.104139	1.098136	-0.002025	0.004963	0.002392	-0.734863	-0.157715	-0.514893	0.740501	0.080265	-0.662055	0.083060	4.601554	-83.636334	8.682646	0.109568	0.016732	0.993838	-0.229293	0.973317	0.008892	-0.967171	-0.228854	0.110481	0	0	0
57239	0	0	0	0	0	9.754229	0.117271	1.092957	-0.001794	0.005154	0.000064	-0.737061	-0.161133	-0.515381	0.740514	0.080250	-0.662045	0.083040	4.604303	-83.634521	8.676975	0.109601	0.016726	0.993835	-0.229242	0.973329	0.008900	-0.967179	-0.228805	0.110512	0	0	0
57240	0	0	0	0	0	9.794075	0.081731	1.082014	-0.002431	0.003264	0.000370	-0.740479	-0.164551	-0.520508	0.740520	0.080237	-0.662042	0.083024	4.605719	-83.633788	8.673151	0.109615	0.016721	0.993833	-0.229201	0.973338	0.008904	-0.967187	-0.228764	0.110525	0	0	0
