// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57802	0	0	0	0	0	9.850208	0.196928	0.169679	-0.005094	0.008400	-0.000531	-0.773193	0.378418	-0.309570	0.623772	-0.330290	-0.616783	-0.348421	40.236679	-88.425454	-97.603030	-0.003636	-0.027236	0.999622	0.842104	0.539024	0.017749	-0.539304	0.841850	0.020976	0	0	0
57803	0	0	0	0	0	9.810352	0.190243	0.183186	-0.003706	0.010083	0.004329	-0.770752	0.370850	-0.311035	0.623790	-0.330304	-0.616742	-0.348446	40.086948	-88.422843	-97.456994	-0.003572	-0.027290	0.999621	0.842139	0.538969	0.017723	-0.539249	0.841883	0.021057	0	0	0
57804	0	0	0	0	0	9.816772	0.156204	0.187041	0.001740	0.008586	0.000611	-0.772461	0.372559	-0.312500	0.623809	-0.330286	-0.616725	-0.348460	40.018174	-88.419385	-97.387834	-0.003547	-0.027354	0.999620	0.842136	0.538974	0.017737	-0.539254	0.841878	0.021125	0	0	0
57805	0	0	0	0	0	9.809021	0.156708	0.210908	-0.008337	0.005931	-0.000020	-0.769043	0.370605	-0.309570	0.623802	-0.330302	-0.616699	-0.348502	39.992198	-88.416859	-97.367331	-0.003543	-0.027399	0.999618	0.842187	0.538893	0.017756	-0.539174	0.841928	0.021166	0	0	0
57806	0	0	0	0	0	9.824485	0.155768	0.165162	0.001973	0.005224	-0.002900	-0.773438	0.372070	-0.315430	0.623806	-0.330279	-0.616698	-0.348521	40.024386	-88.413581	-97.399038	-0.003565	-0.027454	0.999617	0.842182	0.538899	0.017804	-0.539181	0.841923	0.021200	0	0	0
57807	0	0	0	0	0	9.856584	0.162758	0.176252	0.000694	0.005358	0.003741	-0.769775	0.373779	-0.306641	0.623819	-0.330279	-0.616683	-0.348522	39.951349	-88.412681	-97.326188	-0.003532	-0.027474	0.999616	0.842184	0.538896	0.017787	-0.539178	0.841924	0.021235	0	0	0
57808	0	0	0	0	0	9.841092	0.163637	0.223265	-0.000227	0.009189	0.000308	-0.768066	0.375732	-0.311523	0.623836	-0.330265	-0.616661	-0.348544	39.879018	-88.408841	-97.254597	-0.003506	-0.027545	0.999614	0.842191	0.538885	0.017804	-0.539167	0.841929	0.021309	0	0	0
57809	0	0	0	0	0	9.833330	0.164155	0.247219	-0.001155	0.007193	0.000079	-0.766602	0.372559	-0.311523	0.623844	-0.330261	-0.616642	-0.348568	39.837636	-88.405868	-97.215067	-0.003494	-0.027599	0.999613	0.842209	0.538857	0.017821	-0.539140	0.841945	0.021361	0	0	0
57810	0	0	0	0	0	9.833314	0.164119	0.247866	0.002783	0.005987	0.000688	-0.760498	0.372559	-0.311523	0.623857	-0.330244	-0.616634	-0.348574	39.803707	-88.403573	-97.180167	-0.003482	-0.027641	0.999612	0.842200	0.538870	0.017834	-0.539154	0.841935	0.021403	0	0	0
57811	0	0	0	0	0	9.814035	0.177279	0.241758	0.001622	0.007354	0.003971	-0.774902	0.375488	-0.313477	0.623878	-0.330240	-0.616614	-0.348575	39.698427	-88.401902	-97.074691	-0.003435	-0.027676	0.999611	0.842199	0.538873	0.017814	-0.539157	0.841932	0.021458	0	0	0
