// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57802	0	0	0	0	0	8.595728	-0.010106	4.852862	-0.043781	-0.006783	0.005225	-0.947754	-0.352295	-0.368408	-0.516535	-0.404471	0.303334	-0.691074	-0.164694	-60.739190	106.544775	-0.139189	0.468549	0.872404	-0.959308	-0.282360	-0.001405	0.245673	-0.837099	0.488784	0	0	0
57803	0	0	0	0	0	8.591414	-0.045759	4.843213	-0.046487	-0.007044	0.005695	-0.946289	-0.360596	-0.370605	-0.516604	-0.404360	0.303527	-0.691003	-0.197914	-60.742707	106.551347	-0.139227	0.468482	0.872434	-0.959418	-0.281984	-0.001688	0.245222	-0.837263	0.488729	0	0	0
57804	0	0	0	0	0	8.581108	-0.023088	4.821723	-0.044833	-0.005061	0.004441	-0.946045	-0.359375	-0.373535	-0.516683	-0.404246	0.303708	-0.690931	-0.228464	-60.745006	106.555090	-0.139248	0.468439	0.872453	-0.959530	-0.281600	-0.001949	0.244770	-0.837416	0.488693	0	0	0
57805	0	0	0	0	0	8.560283	-0.019245	4.810471	-0.029908	-0.009873	0.001624	-0.942627	-0.361572	-0.372314	-0.516734	-0.404191	0.303844	-0.690865	-0.247616	-60.750018	106.555687	-0.139231	0.468364	0.872496	-0.959609	-0.281330	-0.002112	0.244470	-0.837549	0.488616	0	0	0
57806	0	0	0	0	0	8.524534	0.022139	4.737337	-0.025847	-0.019480	0.005088	-0.949951	-0.360107	-0.374756	-0.516750	-0.404175	0.303998	-0.690794	-0.268021	-60.760575	106.560269	-0.139223	0.468199	0.872586	-0.959673	-0.281108	-0.002285	0.244221	-0.837716	0.488455	0	0	0
57807	0	0	0	0	0	8.584232	-0.030191	4.758600	-0.037611	-0.013963	-0.002496	-0.947754	-0.359131	-0.367432	-0.516826	-0.404121	0.304163	-0.690697	-0.287355	-60.767915	106.555879	-0.139155	0.468103	0.872649	-0.959777	-0.280752	-0.002449	0.243851	-0.837889	0.488342	0	0	0
57808	0	0	0	0	0	8.606255	-0.037718	4.767671	-0.036733	-0.021086	-0.001190	-0.942627	-0.357422	-0.369141	-0.516884	-0.404092	0.304347	-0.690590	-0.307592	-60.779410	106.553121	-0.139083	0.467941	0.872747	-0.959877	-0.280409	-0.002621	0.243500	-0.838094	0.488166	0	0	0
57809	0	0	0	0	0	8.619209	-0.066481	4.726777	-0.035861	-0.025660	0.000131	-0.941650	-0.360352	-0.371338	-0.516925	-0.404080	0.304540	-0.690480	-0.328740	-60.793545	106.552427	-0.139016	0.467737	0.872867	-0.959970	-0.280087	-0.002800	0.243169	-0.838316	0.487950	0	0	0
57810	0	0	0	0	0	8.575543	-0.052684	4.823047	-0.034356	-0.022882	-0.004828	-0.937500	-0.360107	-0.370605	-0.516988	-0.404068	0.304712	-0.690364	-0.343909	-60.806082	106.545423	-0.138904	0.467571	0.872974	-0.960069	-0.279747	-0.002928	0.242843	-0.838522	0.487758	0	0	0
57811	0	0	0	0	0	8.550723	-0.036144	4.770212	-0.027705	-0.022201	-0.001472	-0.951416	-0.356445	-0.372803	-0.517028	-0.404066	0.304867	-0.690267	-0.358576	-60.818136	106.542107	-0.138825	0.467403	0.873076	-0.960148	-0.279477	-0.003051	0.242578	-0.838706	0.487574	0	0	0
57812	0	0	0	0	0	8.647236	-0.041788	4.800078	-0.027704	-0.025822	0.002713	-0.943115	-0.361572	-0.368896	-0.517047	-0.404071	0.305039	-0.690174	-0.377697	-60.832331	106.543998	-0.138779	0.467191	0.873197	-0.960220	-0.279228	-0.003213	0.242320	-0.838907	0.487356	0	0	0
57813	0	0	0	0	0	8.594309	-0.093929	4.878115	-0.027709	-0.022189	-0.001485	-0.945801	-0.355469	-0.375244	-0.517084	-0.404070	0.305192	-0.690079	-0.392521	-60.844442	106.541209	-0.138703	0.467020	0.873300	-0.960296	-0.278963	-0.003338	0.242060	-0.839090	0.487171	0	0	0
57814	0	0	0	0	0	8.601225	-0.063903	4.825562	-0.021609	-0.022532	0.003693	-0.943848	-0.361572	-0.367188	-0.517092	-0.404077	0.305337	-0.690005	-0.409149	-60.856749	106.544243	-0.138675	0.466833	0.873405	-0.960352	-0.278770	-0.003478	0.241855	-0.839258	0.486982	0	0	0
57815	0	0	0	0	0	8.618671	-0.059306	4.794020	-0.025913	-0.018466	0.001011	-0.943115	-0.356445	-0.374512	-0.517124	-0.404063	0.305480	-0.689926	-0.425477	-60.866683	106.544191	-0.138631	0.466688	0.873489	-0.960421	-0.278529	-0.003615	0.241605	-0.839419	0.486830	0	0	0
57816	0	0	0	0	0	8.604295	-0.068212	4.762303	-0.022722	-0.020934	0.003130	-0.947998	-0.360352	-0.374023	-0.517139	-0.404063	0.305623	-0.689851	-0.442167	-60.878075	106.546565	-0.138601	0.466516	0.873586	-0.960480	-0.278324	-0.003756	0.241387	-0.839583	0.486655	0	0	0
57817	0	0	0	0	0	8.615821	-0.049903	4.750250	-0.022587	-0.019599	-0.001530	-0.942139	-0.352783	-0.376465	-0.517173	-0.404064	0.305753	-0.689768	-0.454027	-60.888610	106.543309	-0.138529	0.466370	0.873676	-0.960546	-0.278095	-0.003855	0.241166	-0.839740	0.486494	0	0	0
57818	0	0	0	0	0	8.594478	-0.043500	4.797710	-0.023694	-0.021633	0.002100	-0.952148	-0.360107	-0.374512	-0.517192	-0.404066	0.305900	-0.689688	-0.470232	-60.900407	106.544490	-0.138487	0.466195	0.873776	-0.960609	-0.277876	-0.003991	0.240941	-0.839909	0.486313	0	0	0
57819	0	0	0	0	0	8.611867	-0.038702	4.766218	-0.020648	-0.018178	0.000501	-0.940918	-0.356689	-0.360840	-0.517217	-0.404064	0.306024	-0.689615	-0.483186	-60.910105	106.543722	-0.138439	0.466055	0.873858	-0.960667	-0.277673	-0.004100	0.240736	-0.840054	0.486164	0	0	0
57820	0	0	0	0	0	8.612798	-0.039892	4.764525	-0.022726	-0.020919	0.003111	-0.938477	-0.361084	-0.366455	-0.517232	-0.404063	0.306167	-0.689541	-0.499883	-60.921487	106.546101	-0.138409	0.465883	0.873955	-0.960726	-0.277467	-0.004240	0.240518	-0.840218	0.485989	0	0	0
57821	0	0	0	0	0	8.592637	-0.080024	4.783371	-0.027310	-0.018833	-0.002873	-0.949951	-0.357910	-0.365723	-0.517277	-0.404055	0.306306	-0.689449	-0.512859	-60.931761	106.541717	-0.138328	0.465743	0.874042	-0.960802	-0.277202	-0.004349	0.240261	-0.840382	0.485831	0	0	0
57822	0	0	0	0	0	8.587681	-0.067685	4.801214	-0.021204	-0.019186	0.002305	-0.951660	-0.356201	-0.366211	-0.517294	-0.404054	0.306438	-0.689379	-0.527849	-60.942155	106.543139	-0.138295	0.465587	0.874130	-0.960858	-0.277005	-0.004474	0.240055	-0.840533	0.485672	0	0	0
57823	0	0	0	0	0	8.620321	-0.055168	4.799863	-0.023154	-0.016965	-0.003924	-0.948486	-0.353516	-0.369629	-0.517335	-0.404052	0.306556	-0.689297	-0.537605	-60.951402	106.538068	-0.138213	0.465464	0.874208	-0.960923	-0.276777	-0.004556	0.239840	-0.840677	0.485530	0	0	0
57824	0	0	0	0	0	8.578749	-0.089009	4.808572	-0.019269	-0.014141	0.000157	-0.945801	-0.357178	-0.366455	-0.517363	-0.404042	0.306664	-0.689234	-0.549229	-60.958916	106.536908	-0.138171	0.465357	0.874272	-0.960978	-0.276586	-0.004653	0.239646	-0.840799	0.485414	0	0	0
57825	0	0	0	0	0	8.595925	-0.083910	4.777394	-0.018019	-0.018024	0.000231	-0.946289	-0.346924	-0.370117	-0.517379	-0.404049	0.306776	-0.689167	-0.560389	-60.968668	106.536451	-0.138125	0.465216	0.874354	-0.961027	-0.276414	-0.004746	0.239476	-0.840934	0.485265	0	0	0
57826	0	0	0	0	0	8.613213	-0.078658	4.745992	-0.017328	-0.019296	-0.002061	-0.944092	-0.359863	-0.372070	-0.517403	-0.404065	0.306886	-0.689090	-0.568668	-60.979148	106.532738	-0.138050	0.465071	0.874443	-0.961080	-0.276229	-0.004815	0.239307	-0.841074	0.485104	0	0	0
57827	0	0	0	0	0	8.608448	-0.110823	4.794812	-0.020936	-0.020131	-0.002840	-0.943604	-0.354492	-0.374268	-0.517435	-0.404076	0.307009	-0.689006	-0.578441	-60.990040	106.528414	-0.137967	0.464922	0.874535	-0.961142	-0.276012	-0.004896	0.239106	-0.841228	0.484937	0	0	0
57828	0	0	0	0	0	8.615183	-0.080098	4.742392	-0.018714	-0.023308	-0.001748	-0.948486	-0.364502	-0.365234	-0.517455	-0.404101	0.307135	-0.688920	-0.587883	-61.002818	106.525123	-0.137885	0.464743	0.874644	-0.961197	-0.275817	-0.004974	0.238930	-0.841391	0.484741	0	0	0
57829	0	0	0	0	0	8.625852	-0.060094	4.789857	-0.020930	-0.023753	0.001330	-0.952881	-0.358398	-0.376465	-0.517468	-0.404118	0.307274	-0.688838	-0.601704	-61.015796	106.525496	-0.137832	0.464553	0.874753	-0.961253	-0.275619	-0.005089	0.238735	-0.841561	0.484542	0	0	0
57830	0	0	0	0	0	8.664541	-0.060878	4.768564	-0.025941	-0.021343	-0.007488	-0.946777	-0.360840	-0.374023	-0.517525	-0.404127	0.307408	-0.688730	-0.609333	-61.027483	106.515400	-0.137699	0.464406	0.874852	-0.961334	-0.275337	-0.005151	0.238487	-0.841734	0.484363	0	0	0
57831	0	0	0	0	0	8.612591	-0.069293	4.755986	-0.019959	-0.023042	0.002342	-0.945557	-0.352051	-0.375244	-0.517535	-0.404141	0.307546	-0.688653	-0.623737	-61.039959	106.516696	-0.137655	0.464220	0.874958	-0.961388	-0.275146	-0.005271	0.238294	-0.841899	0.484171	0	0	0
57832	0	0	0	0	0	8.613617	-0.070243	4.754113	-0.020943	-0.020111	-0.002862	-0.947266	-0.356445	-0.369385	-0.517568	-0.404152	0.307669	-0.688567	-0.633278	-61.050913	106.512062	-0.137570	0.464071	0.875050	-0.961450	-0.274927	-0.005350	0.238092	-0.842053	0.484003	0	0	0
57833	0	0	0	0	0	8.603991	-0.090435	4.762732	-0.018447	-0.017682	-0.002635	-0.940430	-0.362061	-0.367920	-0.517599	-0.404159	0.307777	-0.688491	-0.641794	-61.060377	106.507794	-0.137495	0.463942	0.875130	-0.961506	-0.274729	-0.005420	0.237909	-0.842188	0.483857	0	0	0
57834	0	0	0	0	0	8.652945	-0.071354	4.731584	-0.013177	-0.017415	-0.003129	-0.950195	-0.353760	-0.364502	-0.517621	-0.404181	0.307866	-0.688422	-0.646580	-61.069789	106.502810	-0.137413	0.463816	0.875210	-0.961550	-0.274575	-0.005459	0.237778	-0.842308	0.483713	0	0	0
57835	0	0	0	0	0	8.605549	-0.091272	4.759901	-0.010820	-0.012695	-0.002424	-0.944824	-0.350098	-0.369873	-0.517641	-0.404192	0.307934	-0.688370	-0.650634	-61.076514	106.498897	-0.137353	0.463727	0.875266	-0.961586	-0.274449	-0.005492	0.237669	-0.842398	0.483610	0	0	0
57836	0	0	0	0	0	8.615777	-0.070507	4.808310	-0.009581	-0.012946	-0.006531	-0.946045	-0.360107	-0.371338	-0.517674	-0.404213	0.307992	-0.688306	-0.649778	-61.083388	106.489823	-0.137249	0.463648	0.875324	-0.961626	-0.274308	-0.005484	0.237566	-0.842487	0.483505	0	0	0
57837	0	0	0	0	0	8.584608	-0.084079	4.807067	-0.007212	-0.011859	-0.001649	-0.952637	-0.354248	-0.374756	-0.517688	-0.404229	0.308048	-0.688262	-0.652740	-61.089531	106.486636	-0.137197	0.463566	0.875376	-0.961654	-0.274211	-0.005507	0.237485	-0.842564	0.483411	0	0	0
57838	0	0	0	0	0	8.633240	-0.064649	4.776470	-0.002631	-0.010322	0.000150	-0.952393	-0.358154	-0.370117	-0.517688	-0.404248	0.308089	-0.688232	-0.654799	-61.094858	106.485441	-0.137164	0.463491	0.875421	-0.961668	-0.274160	-0.005524	0.237445	-0.842622	0.483329	0	0	0
57839	0	0	0	0	0	8.633736	-0.064542	4.775574	-0.004450	-0.010387	-0.006547	-0.947998	-0.352295	-0.367188	-0.517715	-0.404273	0.308122	-0.688183	-0.651136	-61.100208	106.476612	-0.137070	0.463434	0.875466	-0.961695	-0.274065	-0.005492	0.237390	-0.842685	0.483248	0	0	0
57840	0	0	0	0	0	8.629250	-0.052152	4.734544	-0.004589	-0.008094	-0.006070	-0.945068	-0.350830	-0.372070	-0.517744	-0.404290	0.308151	-0.688138	-0.647833	-61.104299	106.468012	-0.136982	0.463394	0.875501	-0.961723	-0.273969	-0.005464	0.237328	-0.842738	0.483186	0	0	0
57841	0	0	0	0	0	8.650852	-0.057751	4.744335	-0.003066	-0.006371	-0.006862	-0.942139	-0.360840	-0.363037	-0.517774	-0.404305	0.308168	-0.688099	-0.643124	-61.107356	106.458949	-0.136896	0.463371	0.875527	-0.961747	-0.273886	-0.005423	0.237281	-0.842777	0.483140	0	0	0
57842	0	0	0	0	0	8.640630	-0.076754	4.754078	0.000543	-0.005537	-0.006086	-0.947998	-0.359863	-0.365479	-0.517796	-0.404326	0.308173	-0.688067	-0.636832	-61.109981	106.450294	-0.136814	0.463353	0.875549	-0.961762	-0.273833	-0.005370	0.237266	-0.842804	0.483100	0	0	0
57843	0	0	0	0	0	8.631155	-0.052305	4.672884	-0.001941	-0.011591	-0.002145	-0.945313	-0.365723	-0.372070	-0.517799	-0.404357	0.308208	-0.688031	-0.635929	-61.116106	106.446635	-0.136758	0.463272	0.875600	-0.961776	-0.273784	-0.005361	0.237242	-0.842865	0.483007	0	0	0
