// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426ED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57802	0	0	0	0	0	9.784544	0.676092	-0.718697	0.000693	0.012145	-0.004137	-0.776855	-0.277588	-0.361328	0.669286	0.187564	-0.706588	0.132701	137.316479	-84.622399	-111.109429	-0.033753	-0.087430	0.995599	-0.442691	0.894420	0.063537	-0.896039	-0.438598	-0.068894	0	0	0
57803	0	0	0	0	0	9.762812	0.638848	-0.658923	0.000745	0.005561	-0.004939	-0.777832	-0.285156	-0.364258	0.669301	0.187558	-0.706577	0.132692	137.294545	-84.623347	-111.088813	-0.033716	-0.087427	0.995600	-0.442669	0.894430	0.063552	-0.896051	-0.438579	-0.068857	0	0	0
57804	0	0	0	0	0	9.775296	0.627392	-0.641568	-0.007002	-0.000363	-0.008993	-0.778320	-0.283447	-0.362549	0.669306	0.187550	-0.706584	0.132638	137.271790	-84.620221	-111.071133	-0.033708	-0.087488	0.995595	-0.442591	0.894464	0.063616	-0.896090	-0.438497	-0.068872	0	0	0
57805	0	0	0	0	0	9.784777	0.570965	-0.654586	-0.009876	0.000416	-0.013258	-0.773682	-0.286133	-0.364258	0.669319	0.187546	-0.706587	0.132561	137.225816	-84.615701	-111.031818	-0.033676	-0.087584	0.995588	-0.442487	0.894508	0.063725	-0.896142	-0.438389	-0.068879	0	0	0
57806	0	0	0	0	0	9.755834	0.615205	-0.637893	0.009970	-0.005524	-0.009432	-0.778564	-0.284180	-0.368164	0.669290	0.187600	-0.706600	0.132562	137.232181	-84.610233	-111.033620	-0.033713	-0.087672	0.995579	-0.442561	0.894467	0.063782	-0.896105	-0.438454	-0.068955	0	0	0
57807	0	0	0	0	0	9.755217	0.594073	-0.723728	0.007828	-0.006586	-0.012832	-0.777344	-0.285889	-0.358887	0.669262	0.187659	-0.706615	0.132541	137.226190	-84.602978	-111.024350	-0.033744	-0.087795	0.995567	-0.442615	0.894434	0.063874	-0.896077	-0.438497	-0.069041	0	0	0
57808	0	0	0	0	0	9.766219	0.625275	-0.711199	0.012022	-0.004625	-0.014710	-0.771729	-0.282959	-0.360352	0.669238	0.187737	-0.706619	0.132532	137.206563	-84.595833	-110.998863	-0.033750	-0.087926	0.995555	-0.442709	0.894380	0.063982	-0.896030	-0.438581	-0.069111	0	0	0
57809	0	0	0	0	0	9.778650	0.614229	-0.694390	-0.000090	-0.000164	-0.008676	-0.771729	-0.287109	-0.360352	0.669236	0.187753	-0.706622	0.132506	137.189397	-84.592796	-110.982593	-0.033744	-0.087985	0.995550	-0.442695	0.894382	0.064039	-0.896037	-0.438564	-0.069130	0	0	0
57810	0	0	0	0	0	9.774277	0.611611	-0.728255	0.009048	0.005293	-0.006828	-0.765137	-0.287109	-0.360840	0.669245	0.187787	-0.706601	0.132522	137.162336	-84.592888	-110.951350	-0.033695	-0.088002	0.995550	-0.442760	0.894348	0.064070	-0.896007	-0.438631	-0.069099	0	0	0
57811	0	0	0	0	0	9.761776	0.624036	-0.744836	0.015166	0.006518	-0.000769	-0.780518	-0.283203	-0.362793	0.669247	0.187823	-0.706578	0.132583	137.159920	-84.595731	-110.940827	-0.033661	-0.087962	0.995555	-0.442885	0.894288	0.064040	-0.895946	-0.438761	-0.069060	0	0	0
