// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426EE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
57802	0	0	0	0	0	4.397198	-2.730568	8.342667	-0.000352	0.003424	0.004208	-0.515381	-0.225098	-0.765381	0.035865	-0.237690	0.136711	-0.961003	-18.228336	-26.553662	-171.389597	-0.884434	-0.133922	0.447036	0.003943	-0.960048	-0.279809	0.466648	-0.245710	0.849627	0	0	0
57803	0	0	0	0	0	4.411189	-2.760451	8.353375	-0.001352	-0.000290	0.006423	-0.513184	-0.234131	-0.766357	0.035871	-0.237695	0.136726	-0.961000	-18.230507	-26.554033	-171.388318	-0.884428	-0.133942	0.447042	0.003945	-0.960039	-0.279840	0.466659	-0.245735	0.849614	0	0	0
57804	0	0	0	0	0	4.378715	-2.723474	8.387594	0.005077	0.002522	0.004247	-0.515137	-0.233154	-0.764893	0.035873	-0.237688	0.136708	-0.961004	-18.228210	-26.553245	-171.388711	-0.884435	-0.133937	0.447029	0.003961	-0.960048	-0.279808	0.466646	-0.245701	0.849631	0	0	0
57805	0	0	0	0	0	4.389229	-2.754263	8.343896	-0.001717	0.000045	0.002990	-0.512451	-0.234863	-0.766846	0.035862	-0.237694	0.136721	-0.961001	-18.229626	-26.554050	-171.389588	-0.884431	-0.133922	0.447042	0.003931	-0.960042	-0.279827	0.466654	-0.245731	0.849618	0	0	0
57806	0	0	0	0	0	4.396212	-2.731198	8.342980	0.002095	0.002709	0.008085	-0.518066	-0.234131	-0.771240	0.035876	-0.237683	0.136723	-0.961003	-18.229970	-26.552482	-171.388049	-0.884440	-0.133948	0.447017	0.003961	-0.960040	-0.279836	0.466638	-0.245727	0.849628	0	0	0
57807	0	0	0	0	0	4.417467	-2.737638	8.352749	0.000365	-0.000335	0.003434	-0.514648	-0.233154	-0.758057	0.035870	-0.237690	0.136726	-0.961001	-18.230348	-26.553415	-171.388579	-0.884434	-0.133938	0.447032	0.003945	-0.960039	-0.279839	0.466649	-0.245736	0.849619	0	0	0
57808	0	0	0	0	0	4.410023	-2.761170	8.353753	-0.000261	0.001280	0.007679	-0.510010	-0.231689	-0.762939	0.035889	-0.237688	0.136736	-0.960999	-18.232074	-26.552741	-171.385983	-0.884433	-0.133979	0.447021	0.003978	-0.960031	-0.279867	0.466651	-0.245745	0.849616	0	0	0
57809	0	0	0	0	0	4.384564	-2.777355	8.399515	-0.001352	-0.000290	0.006424	-0.510254	-0.233887	-0.763916	0.035895	-0.237693	0.136751	-0.960996	-18.234245	-26.553113	-171.384703	-0.884427	-0.133999	0.447027	0.003979	-0.960022	-0.279898	0.466662	-0.245770	0.849602	0	0	0
57810	0	0	0	0	0	4.380785	-2.778924	8.345051	-0.000261	0.001280	0.007679	-0.502441	-0.234863	-0.761963	0.035900	-0.237689	0.136764	-0.960995	-18.235957	-26.552367	-171.383784	-0.884431	-0.134014	0.447016	0.003985	-0.960014	-0.279925	0.466655	-0.245793	0.849599	0	0	0
57811	0	0	0	0	0	4.393059	-2.781630	8.377204	0.001906	0.001331	0.002548	-0.519043	-0.230469	-0.766846	0.035890	-0.237688	0.136759	-0.960996	-18.235062	-26.552552	-171.385187	-0.884432	-0.133992	0.447018	0.003967	-0.960018	-0.279911	0.466651	-0.245789	0.849602	0	0	0
57812	0	0	0	0	0	4.409245	-2.762045	8.353874	0.003802	-0.003001	0.006500	-0.510986	-0.236084	-0.765381	0.035897	-0.237704	0.136751	-0.960993	-18.234516	-26.554345	-171.384090	-0.884416	-0.134007	0.447046	0.003982	-0.960021	-0.279899	0.466682	-0.245767	0.849592	0	0	0
57813	0	0	0	0	0	4.400003	-2.758451	8.376351	-0.001342	0.005373	0.005019	-0.514404	-0.229004	-0.767334	0.035892	-0.237683	0.136765	-0.960996	-18.235792	-26.551887	-171.384800	-0.884437	-0.133998	0.447008	0.003971	-0.960014	-0.279924	0.466643	-0.245800	0.849604	0	0	0
57814	0	0	0	0	0	4.408555	-2.762178	8.354194	0.005528	0.002616	0.002106	-0.509766	-0.235107	-0.760986	0.035879	-0.237676	0.136744	-0.961002	-18.232578	-26.551417	-171.387233	-0.884446	-0.133961	0.447001	0.003959	-0.960028	-0.279877	0.466626	-0.245767	0.849623	0	0	0
57815	0	0	0	0	0	4.395928	-2.759428	8.322241	0.003801	-0.003002	0.006500	-0.509766	-0.231934	-0.766602	0.035893	-0.237693	0.136734	-0.960998	-18.232060	-26.553251	-171.385364	-0.884427	-0.133988	0.447029	0.003986	-0.960031	-0.279865	0.466661	-0.245739	0.849612	0	0	0
57816	0	0	0	0	0	4.406667	-2.734897	8.375767	0.002721	0.001092	0.003840	-0.514160	-0.236816	-0.767334	0.035882	-0.237691	0.136728	-0.961000	-18.231021	-26.553292	-171.386915	-0.884431	-0.133964	0.447030	0.003968	-0.960036	-0.279850	0.466655	-0.245734	0.849617	0	0	0
57817	0	0	0	0	0	4.399209	-2.758043	8.376902	0.005618	0.000472	0.005577	-0.507568	-0.228271	-0.770264	0.035892	-0.237692	0.136709	-0.961002	-18.228900	-26.553401	-171.386304	-0.884428	-0.133973	0.447032	0.003995	-0.960045	-0.279818	0.466659	-0.245693	0.849626	0	0	0
57818	0	0	0	0	0	4.393738	-2.732137	8.343976	0.001455	0.001234	0.004689	-0.518066	-0.234375	-0.768799	0.035879	-0.237688	0.136712	-0.961003	-18.228847	-26.553174	-171.387855	-0.884434	-0.133950	0.447028	0.003970	-0.960045	-0.279818	0.466649	-0.245705	0.849628	0	0	0
57819	0	0	0	0	0	4.406132	-2.734633	8.376135	0.004527	-0.001097	0.004322	-0.509521	-0.230957	-0.757813	0.035882	-0.237698	0.136696	-0.961003	-18.227151	-26.554362	-171.387693	-0.884424	-0.133951	0.447047	0.003981	-0.960053	-0.279790	0.466667	-0.245673	0.849628	0	0	0
57820	0	0	0	0	0	4.407703	-2.761693	8.354805	0.000189	0.001376	0.005538	-0.507568	-0.235596	-0.759521	0.035888	-0.237696	0.136702	-0.961002	-18.228034	-26.553999	-171.386866	-0.884425	-0.133964	0.447041	0.003990	-0.960049	-0.279804	0.466665	-0.245682	0.849626	0	0	0
57821	0	0	0	0	0	4.398542	-2.758191	8.377203	-0.001717	0.000046	0.002990	-0.515381	-0.232910	-0.760742	0.035876	-0.237702	0.136715	-0.960999	-18.229450	-26.554804	-171.387743	-0.884421	-0.133950	0.447054	0.003959	-0.960044	-0.279823	0.466673	-0.245711	0.849613	0	0	0
57822	0	0	0	0	0	4.436133	-2.745136	8.363544	0.002270	0.000995	0.005982	-0.518555	-0.232178	-0.762207	0.035885	-0.237701	0.136712	-0.961000	-18.229242	-26.554576	-171.386818	-0.884421	-0.133964	0.447050	0.003978	-0.960044	-0.279820	0.466674	-0.245700	0.849616	0	0	0
57823	0	0	0	0	0	4.383906	-2.728860	8.366654	0.000640	0.001473	0.003397	-0.517334	-0.228027	-0.763184	0.035877	-0.237700	0.136714	-0.961000	-18.229290	-26.554531	-171.387734	-0.884423	-0.133950	0.447049	0.003962	-0.960044	-0.279821	0.466669	-0.245709	0.849616	0	0	0
57824	0	0	0	0	0	4.397974	-2.758624	8.377359	-0.000086	-0.000432	0.005575	-0.512451	-0.232666	-0.759521	0.035897	-0.237709	0.136719	-0.960996	-18.230575	-26.555195	-171.384994	-0.884412	-0.133992	0.447060	0.003994	-0.960039	-0.279838	0.466691	-0.245706	0.849605	0	0	0
