// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426ED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13511	0	0	0	0	0	9.667623	1.267412	-1.011705	0.007456	0.001056	-0.001346	-0.487305	-0.580566	-0.437988	0.671760	0.153731	-0.722766	0.052103	125.047783	-80.776314	-108.255156	-0.050210	-0.152222	0.987070	-0.292224	0.947304	0.131225	-0.955031	-0.281857	-0.092048	0	0	0
13512	0	0	0	0	0	9.690414	1.272984	-1.004924	0.007456	0.001056	-0.001346	-0.481201	-0.581543	-0.432373	0.671756	0.153739	-0.722766	0.052125	125.054162	-80.777130	-108.259092	-0.050217	-0.152205	0.987072	-0.292265	0.947295	0.131203	-0.955018	-0.281898	-0.092054	0	0	0
13513	0	0	0	0	0	9.690438	1.272977	-1.004703	0.007738	0.005500	-0.000076	-0.490967	-0.583740	-0.429688	0.671768	0.153745	-0.722752	0.052157	125.050095	-80.780080	-108.251946	-0.050182	-0.152163	0.987081	-0.292313	0.947284	0.131168	-0.955005	-0.281955	-0.092016	0	0	0
13514	0	0	0	0	0	9.673154	1.296366	-0.964966	0.008190	0.005234	-0.005231	-0.488037	-0.583252	-0.430908	0.671778	0.153772	-0.722735	0.052175	125.037688	-80.780343	-108.235762	-0.050137	-0.152173	0.987081	-0.292374	0.947264	0.131184	-0.954989	-0.282020	-0.091985	0	0	0
13515	0	0	0	0	0	9.715682	1.237659	-0.971485	0.000753	0.004909	-0.005991	-0.482910	-0.584717	-0.431396	0.671794	0.153776	-0.722720	0.052162	125.019334	-80.780323	-108.218197	-0.050091	-0.152189	0.987081	-0.292358	0.947264	0.131214	-0.954996	-0.282009	-0.091943	0	0	0
13516	0	0	0	0	0	9.642870	1.282529	-0.938748	0.006759	-0.001664	-0.001675	-0.484863	-0.582764	-0.433594	0.671780	0.153789	-0.722730	0.052182	125.033108	-80.779962	-108.229265	-0.050122	-0.152185	0.987080	-0.292405	0.947252	0.131197	-0.954980	-0.282052	-0.091978	0	0	0
13517	0	0	0	0	0	9.679783	1.305278	-0.905660	0.011183	0.001582	-0.002020	-0.484619	-0.585205	-0.434082	0.671775	0.153813	-0.722726	0.052218	125.038391	-80.780711	-108.229592	-0.050119	-0.152172	0.987082	-0.292487	0.947229	0.131178	-0.954955	-0.282135	-0.091983	0	0	0
13518	0	0	0	0	0	9.689627	1.273064	-0.912685	0.004557	-0.002924	-0.002556	-0.483643	-0.578125	-0.435059	0.671759	0.153821	-0.722739	0.052224	125.052233	-80.779557	-108.242289	-0.050159	-0.152180	0.987079	-0.292509	0.947224	0.131172	-0.954946	-0.282150	-0.092026	0	0	0
13519	0	0	0	0	0	9.687138	1.314899	-0.938214	0.005572	0.005699	-0.005172	-0.492920	-0.585205	-0.422607	0.671774	0.153837	-0.722721	0.052232	125.036015	-80.780182	-108.224091	-0.050107	-0.152186	0.987081	-0.292539	0.947212	0.131189	-0.954940	-0.282186	-0.091982	0	0	0
13520	0	0	0	0	0	9.689057	1.295711	-1.016483	0.002655	0.000992	-0.004274	-0.484863	-0.584961	-0.421143	0.671772	0.153844	-0.722721	0.052231	125.035381	-80.779503	-108.222932	-0.050108	-0.152198	0.987079	-0.292548	0.947208	0.131199	-0.954937	-0.282194	-0.091988	0	0	0
