// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B426DD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Vel_E	Vel_N	Vel_U
13511	0	0	0	0	0	8.483965	0.221498	5.035291	0.016521	0.003030	-0.007608	-1.010254	-0.508545	-0.251953	-0.417709	-0.438596	0.226687	-0.762736	2.302448	-59.142377	121.279226	-0.266306	0.438354	0.858444	-0.836051	-0.548265	0.020606	0.479688	-0.712216	0.512492	0	0	0
13512	0	0	0	0	0	8.472214	0.215467	4.995462	0.009845	0.002955	-0.000384	-1.005127	-0.510742	-0.244385	-0.417701	-0.438598	0.226649	-0.762750	2.307526	-59.140127	121.278206	-0.266315	0.438388	0.858424	-0.836019	-0.548312	0.020653	0.479738	-0.712159	0.512524	0	0	0
13513	0	0	0	0	0	8.465856	0.230883	4.965130	0.010386	0.003166	-0.002156	-1.014893	-0.511963	-0.245605	-0.417701	-0.438603	0.226605	-0.762761	2.314793	-59.137846	121.274847	-0.266308	0.438432	0.858404	-0.835990	-0.548353	0.020719	0.479792	-0.712100	0.512556	0	0	0
13514	0	0	0	0	0	8.438817	0.221106	5.004724	0.009188	0.002288	-0.002538	-1.011475	-0.510986	-0.245361	-0.417702	-0.438608	0.226565	-0.762769	2.321583	-59.135928	121.271393	-0.266296	0.438473	0.858387	-0.835967	-0.548386	0.020781	0.479839	-0.712049	0.512582	0	0	0
13515	0	0	0	0	0	8.463750	0.233938	5.025235	0.005463	0.001688	-0.001965	-1.008057	-0.513184	-0.245605	-0.417705	-0.438610	0.226541	-0.762773	2.325926	-59.134615	121.268923	-0.266287	0.438501	0.858375	-0.835954	-0.548404	0.020820	0.479866	-0.712018	0.512600	0	0	0
13516	0	0	0	0	0	8.426979	0.215006	4.965052	0.008515	0.004111	0.000950	-1.009521	-0.510498	-0.247070	-0.417696	-0.438603	0.226508	-0.762792	2.328918	-59.131733	121.269445	-0.266314	0.438536	0.858349	-0.835925	-0.548448	0.020849	0.479903	-0.711963	0.512642	0	0	0
13517	0	0	0	0	0	8.463344	0.235122	5.025863	0.020231	0.006123	-0.002543	-1.007080	-0.514404	-0.248047	-0.417676	-0.438619	0.226418	-0.762820	2.342207	-59.127810	121.266098	-0.266319	0.438602	0.858314	-0.835846	-0.548563	0.020970	0.480037	-0.711834	0.512696	0	0	0
13518	0	0	0	0	0	8.392057	0.294408	4.931902	0.012861	-0.008815	-0.002012	-1.004639	-0.507324	-0.249512	-0.417655	-0.438674	0.226389	-0.762809	2.351031	-59.132260	121.262726	-0.266258	0.438560	0.858354	-0.835804	-0.548625	0.021047	0.480144	-0.711812	0.512626	0	0	0
13519	0	0	0	0	0	8.473652	0.218220	4.936234	0.008081	-0.003983	0.001556	-1.015869	-0.513916	-0.235596	-0.417639	-0.438697	0.226377	-0.762808	2.353786	-59.134125	121.262947	-0.266245	0.438535	0.858371	-0.835778	-0.548663	0.021070	0.480196	-0.711798	0.512597	0	0	0
13520	0	0	0	0	0	8.470300	0.222102	5.055094	0.001686	-0.010616	-0.000290	-1.006836	-0.512207	-0.234131	-0.417634	-0.438733	0.226398	-0.762784	2.354631	-59.139645	121.261412	-0.266191	0.438472	0.858420	-0.835785	-0.548653	0.021074	0.480215	-0.711845	0.512514	0	0	0
13521	0	0	0	0	0	8.460363	0.249723	4.933142	-0.001000	-0.014156	0.002931	-1.009766	-0.509277	-0.231934	-0.417603	-0.438783	0.226436	-0.762761	2.351535	-59.147801	121.264991	-0.266155	0.438351	0.858493	-0.835775	-0.548669	0.021041	0.480252	-0.711907	0.512393	0	0	0
